PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,YEAR
Darko Milicic,DET,19,7-0,245,None,Serbia,2003,1,2,34,1.4,1.3,0.2,-14.9,7.10%,19.50%,25.40%,31.80%,9.50%,2003
Darrell Armstrong,NOH,36,6-1,180,Fayetteville State,USA,Undrafted,Undrafted,Undrafted,79,10.6,2.9,3.9,2.5,2.70%,7.60%,18.70%,52.50%,24.40%,2003
Darrick Martin,MIN,33,5-11,170,UCLA,USA,Undrafted,Undrafted,Undrafted,16,3.4,0.4,1.4,4.2,1.10%,2.70%,19.70%,38.80%,25.80%,2003
Darvin Ham,DET,30,6-7,240,Texas Tech,USA,Undrafted,Undrafted,Undrafted,54,1.8,1.7,0.3,0.6,9.80%,9.60%,11.40%,53.10%,6.20%,2003
David Wesley,NOH,33,6-1,203,Baylor,USA,Undrafted,Undrafted,Undrafted,61,14,2.2,2.9,-1.2,1.40%,5.40%,21.90%,48.30%,15.90%,2003
David West,NOH,23,6-9,240,Xavier,USA,2003,1,18,71,3.8,4.2,0.8,-4.1,11.90%,21.20%,14.70%,51.90%,12.00%,2003
DeSagana Diop,CLE,22,7-0,300,None,Senegal,2001,1,8,56,2.3,3.6,0.6,-3.5,9.50%,17.10%,11.50%,40.40%,7.80%,2003
DeShawn Stevenson,ORL,23,6-5,210,None,USA,2000,1,23,80,11.4,3.7,2,-4.6,3.30%,9.40%,20.00%,47.30%,11.40%,2003
DerMarr Johnson,NYK,24,6-9,201,Cincinnati,USA,2000,1,6,21,5.4,1.9,0.5,-5.4,1.80%,12.60%,20.30%,51.10%,7.10%,2003
Derek Anderson,POR,29,6-5,195,Kentucky,USA,1997,1,13,51,13.6,3.6,4.5,2.2,1.50%,8.80%,20.20%,49.90%,21.10%,2003
Derek Fisher,LAL,29,6-1,205,Arkansas-Little Rock,USA,1996,1,24,82,7.1,1.9,2.3,2.2,1.60%,7.20%,18.00%,45.10%,17.50%,2003
Derrick Coleman,PHI,37,6-10,270,Syracuse,USA,1990,1,1,34,8,5.6,1.4,-4.3,5.80%,19.00%,18.90%,47.10%,9.50%,2003
Derrick Dial,ORL,28,6-4,184,Eastern Michigan,USA,1998,2,52,9,2.9,1.4,0.2,8.1,5.20%,8.20%,16.90%,41.20%,4.20%,2003
Desmond Ferguson,POR,26,6-7,210,Detroit,USA,Undrafted,Undrafted,Undrafted,7,1.9,0.6,0.1,19.4,0.00%,11.80%,23.00%,50.50%,7.10%,2003
Desmond Mason,MIL,26,6-5,222,Oklahoma State,USA,2000,1,17,82,14.4,4.4,1.9,3.4,3.80%,10.60%,21.70%,55.20%,10.30%,2003
Desmond Penigar,ORL,22,6-7,245,Utah State,USA,Undrafted,Undrafted,Undrafted,10,3.2,2.4,0.3,10.6,6.90%,22.20%,17.90%,53.80%,5.30%,2003
Devean George,LAL,26,6-8,240,Augsburg,USA,1999,1,23,82,7.4,4,1.4,4.4,4.40%,12.40%,15.80%,49.20%,8.90%,2003
Devin Brown,SAS,25,6-5,235,Texas-San Antonio,USA,Undrafted,Undrafted,Undrafted,58,4,2.2,0.6,1.3,5.90%,14.90%,18.70%,51.20%,9.50%,2003
